"Site","Year","bc","TAug","Jan.airT.lead","PDSIsa.lead","Landings"
2,1995,0.230769231,20.7522577326016,-2.44444444444444,0.7375,0
2,1996,0.386792453,19.5620964226497,-2.05555555555556,0.971666666666667,0
2,1997,0.432692308,19.9230641802672,1.27777777777778,0.8875,0
2,1998,0.201923077,20.7493544448495,-1.33333333333333,-0.780833333333333,0
2,1999,1.260416667,21.2309673713927,-2.94444444444444,1.005,0
2,2000,2.029411765,20.4114512669831,-2.22222222222222,0.643333333333333,0
2,2001,0.410377359,20.855644860181,1.5,-2.05,0
2,2002,0.510204082,21.4862899342324,-4.72222222222222,1.29583333333333,0
2,2003,0.218039216,21.386612514207,-6.5,0.0966666666666667,0
2,2004,0.254901961,20.096773881898,-3.16666666666667,0.850833333333333,0
2,2005,0.274509804,21.3391932075319,2.22222222222222,2.63833333333333,0
